Title,Brand,Quantity,MRP,ean_code,Unit,TLC,MLC,LLC,Images
Namkeen - Bhujia Sev Haldiram's 17 g,Haldiram's,17 g,5,20003289,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/20003289_3-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/20003289-2_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/20003289-3_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/20003289-4_1-haldirams-namkeen-bhujia-sev.jpg"
Namkeen - Bhujia Sev Haldiram's 35 g,Haldiram's,35 g,10,8904004400021,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/320391_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/320391-2_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/320391-3_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/320391-4_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/320391-5_1-haldirams-namkeen-bhujia-sev.jpg"
Bhujia Sev Namkeen Haldiram's 200 g,Haldiram's,200 g,55,890400440045,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/263126_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/263126-2_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/263126-3_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/263126-4_1-haldirams-namkeen-bhujia-sev.jpg"
Namkeen - Bhujia Sev Haldiram's 6x40 g,Haldiram's,6x40 g,60,,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,https://www.bigbasket.com/media/uploads/p/l/1203942_1-haldirams-namkeen-bhujia-sev.jpg
Namkeen - Bhujia Sev Haldiram's 400 g,Haldiram's,400 g,90,8904004400083,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/264456_7-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/264456-2_6-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/264456-3_6-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/264456-4_6-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/264456-5_6-haldirams-namkeen-bhujia-sev.jpg"
Bhujia Sev - Hot-n-Spicy Haldiram's 600 g,Haldiram's,600 g,155,401772,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/401772_2-haldirams-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/401772-2_2-haldirams-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/401772-3_1-haldirams-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/401772-4_1-haldirams-bhujia-sev.jpg"
Namkeen - Bhujia Sev Haldiram's 3x150 g,Haldiram's,3x150 g,165,,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,https://www.bigbasket.com/media/uploads/p/l/1201900_1-haldirams-namkeen-bhujia-sev.jpg
Namkeen - Bhujia Sev Haldiram's 2x350 g,Haldiram's,2x350 g,180,,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,https://www.bigbasket.com/media/uploads/p/l/1201905_1-haldirams-namkeen-bhujia-sev.jpg
Namkeen - Bhujia Sev Haldiram's 1 kg,Haldiram's,1 kg,260,8904004400069,g,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/100022552_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/100022552-2_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/100022552-3_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/100022552-4_1-haldirams-namkeen-bhujia-sev.jpg, https://www.bigbasket.com/media/uploads/p/l/100022552-5_1-haldirams-namkeen-bhujia-sev.jpg"
Frozen Green Peas Safal 200 g,Safal,200 g,55,890172206001,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,"https://www.bigbasket.com/media/uploads/p/l/40006613_1-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40006613-2_2-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40006613-3_2-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40006613-4_2-safal-frozen-green-peas.jpg"
Frozen Green Peas Safal 500 g,Safal,500 g,135,8901722060070,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,"https://www.bigbasket.com/media/uploads/p/l/103683_13-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/103683-2_3-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/103683-3_3-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/103683-4_3-safal-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/103683-5_1-safal-frozen-green-peas.jpg"
Frozen - Green Peas Pouch Safal 4x200 g,Safal,4x200 g,220,,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,https://www.bigbasket.com/media/uploads/p/l/1204367_2-safal-frozen-green-peas-pouch.jpg
"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat Britannia 33 g",Britannia,33 g,5,8901063162624,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/40001672_14-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-2_12-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-3_12-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-4_7-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-5_7-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-6_7-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/40001672-7_2-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg"
"Marie Gold Biscuits - Light & Crisp, Tea Time Snack, No Trans-Fat Britannia 68 g",Britannia,68 g,10,8901063162679,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/100012370_10-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-2_1-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-3_1-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-4_1-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-5_1-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-6_1-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg, https://www.bigbasket.com/media/uploads/p/l/100012370-7_2-britannia-marie-gold-biscuits-light-crisp-tea-time-snack-no-trans-fat.jpg"
Marie Gold Biscuits Britannia 190 g,Britannia,190 g,30,8901063162655,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/40001610_8-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-2_1-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-3_1-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-4_1-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-5_1-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-6_1-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-7_2-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/40001610-8_1-britannia-marie-gold-biscuits.jpg"
Marie Gold Biscuits Britannia 250 g,Britannia,250 g,40,8901063023901,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/220244_9-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-2_7-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-3_7-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-4_6-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-5_6-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-6_4-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-7_3-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-8_3-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-9_3-britannia-marie-gold-biscuits.jpg, https://www.bigbasket.com/media/uploads/p/l/220244-10_1-britannia-marie-gold-biscuits.jpg"
Biscuits - Marie Gold Britannia 6x 68 g,Britannia,6x 68 g,60,,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/1203910_4-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1203910-2_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1203910-3_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1203910-4_1-britannia-biscuits-marie-gold.jpg"
Biscuits - Marie Gold Britannia 2x250 g,Britannia,2x250 g,80,,g,Snacks & Branded Foods,Biscuits & Cookies,"Marie, Health, Digestive","https://www.bigbasket.com/media/uploads/p/l/1201303_2-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1201303-2_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1201303-3_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1201303-4_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1201303-5_1-britannia-biscuits-marie-gold.jpg, https://www.bigbasket.com/media/uploads/p/l/1201303-6_1-britannia-biscuits-marie-gold.jpg"
